TimeStamp,AccX,AccY,AccZ
20:48.5,-9.40E-01,-2.10E-01,-2.80E-01
20:48.6,-8.50E-01,-1.20E-01,-3.20E-01
20:48.7,-9.40E-01,-1.80E-01,-2.50E-01
20:48.9,-9.00E-01,-1.60E-01,-2.80E-01
20:49.0,-8.50E-01,-2.10E-01,-2.30E-01
20:49.1,-7.90E-01,-1.40E-01,-3.30E-01
20:49.2,-7.50E-01,-1.30E-01,-2.30E-01
20:49.3,-1.19E+00,3.80E-01,-3.20E-01
20:49.5,-1.24E+00,5.30E-01,-3.10E-01
20:49.6,-1.39E+00,6.30E-01,-5.30E-01
20:49.7,-6.70E-01,1.40E-01,-1.80E-01
20:49.8,-1.50E-01,8.00E-02,-2.50E-01
20:50.0,-8.50E-01,3.90E-01,-2.90E-01
20:50.1,-1.12E+00,2.60E-01,-2.10E-01
20:50.2,-1.29E+00,7.00E-02,-3.20E-01
20:50.3,-1.31E+00,3.00E-02,-3.10E-01
20:50.4,-9.60E-01,-1.70E-01,-3.80E-01
20:50.5,-7.90E-01,-3.40E-01,-3.30E-01
20:50.6,-9.50E-01,-3.00E-01,-2.90E-01
20:50.8,-8.80E-01,-1.60E-01,-3.40E-01
20:50.9,-8.90E-01,-3.20E-01,-3.10E-01
20:51.0,-8.90E-01,-2.60E-01,-2.30E-01
20:51.1,-7.90E-01,-2.50E-01,-3.20E-01
20:51.3,-8.30E-01,-2.80E-01,-3.20E-01
20:51.4,-8.20E-01,-1.70E-01,-3.10E-01
20:51.5,-8.50E-01,-3.10E-01,-3.20E-01
20:51.6,-9.00E-01,-3.20E-01,-2.40E-01
20:51.8,-7.90E-01,-2.70E-01,-2.30E-01
20:51.9,-9.20E-01,-2.50E-01,-3.20E-01
20:52.0,-9.10E-01,-1.20E-01,-3.30E-01
20:52.1,-8.60E-01,-1.70E-01,-2.50E-01
20:52.2,-8.60E-01,-2.00E-01,-2.70E-01
20:52.3,-9.60E-01,-2.70E-01,-2.30E-01
20:52.4,-8.90E-01,-2.00E-01,-3.00E-01
20:52.6,-8.10E-01,-2.00E-01,-2.30E-01
20:52.7,-8.50E-01,-1.90E-01,-2.70E-01
20:52.8,-8.80E-01,-1.80E-01,-2.40E-01
20:52.9,-9.00E-01,-2.60E-01,-2.20E-01
20:53.1,-9.00E-01,-1.80E-01,-2.40E-01
20:53.2,-9.60E-01,-2.00E-01,-2.80E-01
20:53.3,-8.50E-01,-1.00E-01,-2.40E-01
20:53.4,-9.40E-01,-2.10E-01,-3.20E-01
20:53.6,-8.70E-01,-1.60E-01,-3.30E-01
20:53.7,-9.30E-01,-2.60E-01,-2.80E-01
20:53.8,-9.20E-01,-1.70E-01,-3.20E-01
20:53.9,-8.70E-01,-1.70E-01,-2.40E-01
20:54.0,-9.60E-01,-2.30E-01,-2.80E-01
20:54.1,-7.80E-01,-2.10E-01,-3.40E-01
20:54.2,-9.10E-01,-1.70E-01,-2.70E-01
20:54.4,-8.80E-01,-2.00E-01,-2.80E-01
20:54.5,-9.60E-01,-1.90E-01,-2.30E-01
20:54.6,-9.00E-01,-1.30E-01,-2.80E-01
20:54.7,-9.50E-01,-1.80E-01,-3.30E-01
20:54.9,-9.70E-01,-2.30E-01,-2.60E-01
20:55.0,-8.80E-01,-2.00E-01,-2.20E-01
20:55.1,-9.80E-01,8.00E-02,-2.80E-01
20:55.2,-1,3.70E-01,-2.50E-01
20:55.3,-1.56E+00,9.40E-01,-2.50E-01
20:55.5,-6.20E-01,8.70E-01,-3.10E-01
20:55.6,-6.60E-01,6.70E-01,-4.50E-01
20:55.7,-5.00E-02,7.20E-01,-3.00E-02
20:55.8,8.00E-02,3.60E-01,2.00E-02
20:56.0,-9.00E-02,5.90E-01,-6.00E-02
20:56.1,-7.40E-01,5.00E-01,-2.70E-01
20:56.2,-1.27E+00,2.00E-01,-1.60E-01
20:56.3,-1.48E+00,-3.00E-02,-3.30E-01
20:56.4,-1.29E+00,-1.20E-01,-4.00E-01
20:56.5,-9.30E-01,-1.30E-01,-3.80E-01
20:56.7,-6.70E-01,-1.10E-01,-3.40E-01
20:56.8,-8.10E-01,-3.10E-01,-2.40E-01
20:56.9,-8.90E-01,-3.10E-01,-2.50E-01
20:57.0,-8.00E-01,-3.40E-01,-2.40E-01
20:57.1,-8.50E-01,-3.00E-01,-2.30E-01
20:57.3,-8.70E-01,-3.20E-01,-3.20E-01
20:57.4,-8.50E-01,-2.70E-01,-2.70E-01
20:57.5,-8.80E-01,-2.60E-01,-2.40E-01
20:57.6,-8.30E-01,-2.40E-01,-2.30E-01
20:57.8,-8.50E-01,-1.80E-01,-3.20E-01
20:57.9,-8.70E-01,-2.90E-01,-3.20E-01
